dttm,value,anomalyScore,Likelihood Score,label
2014-04-02 14:24:00,94.376,1.0,0.0,0
2014-04-02 14:29:00,96.172,1.0,0.0,0
2014-04-02 14:34:00,93.458,1.0,0.0,0
2014-04-02 14:39:00,92.834,0.525,0.0,0
2014-04-02 14:44:00,93.126,0.725,0.0,0
2014-04-02 14:49:00,93.736,0.25,0.0,0
2014-04-02 14:54:00,94.306,0.125,0.0,0
2014-04-02 14:59:00,93.862,0.025,0.0,0
2014-04-02 15:04:00,90.958,0.2,0.0,0
2014-04-02 15:09:00,96.322,0.325,0.0,0
2014-04-02 15:14:00,93.208,0.125,0.0,0
2014-04-02 15:19:00,92.0,0.075,0.0,0
2014-04-02 15:24:00,92.75,0.05,0.0,0
2014-04-02 15:29:00,93.746,0.0,0.0,0
2014-04-02 15:34:00,95.276,0.125,0.0,0
2014-04-02 15:39:00,91.5,0.075,0.0,0
2014-04-02 15:44:00,93.584,0.0,0.0,0
2014-04-02 15:49:00,95.882,0.225,0.0,0
2014-04-02 15:54:00,94.124,0.025,0.0,0
2014-04-02 15:59:00,91.126,0.05,0.0,0
2014-04-02 16:04:00,92.226,0.0,0.0,0
2014-04-02 16:09:00,93.478,0.1,0.0,0
2014-04-02 16:14:00,96.658,0.15,0.0,0
2014-04-02 16:19:00,93.212,0.15,0.0,0
2014-04-02 16:24:00,95.75,0.025,0.0,0
2014-04-02 16:29:00,96.334,0.225,0.0,0
2014-04-02 16:34:00,92.99,0.0,0.0,0
2014-04-02 16:39:00,95.292,0.05,0.0,0
2014-04-02 16:44:00,93.084,0.025,0.0,0
2014-04-02 16:49:00,94.084,0.05,0.0,0
2014-04-02 16:54:00,95.084,0.175,0.0,0
2014-04-02 16:59:00,97.194,0.15,0.0,0
2014-04-02 17:04:00,92.882,0.075,0.0,0
2014-04-02 17:09:00,93.332,0.05,0.0,0
2014-04-02 17:14:00,94.702,0.1,0.0,0
2014-04-02 17:19:00,96.0,0.075,0.0,0
2014-04-02 17:24:00,96.084,0.175,0.0,0
2014-04-02 17:29:00,93.5,0.075,0.0,0
2014-04-02 17:34:00,92.876,0.075,0.0,0
2014-04-02 17:39:00,95.64,0.05,0.0,0
2014-04-02 17:44:00,95.708,0.125,0.0,0
2014-04-02 17:49:00,93.65,0.1,0.0,0
2014-04-02 17:54:00,94.154,0.1,0.0,0
2014-04-02 17:59:00,94.042,0.1,0.0,0
2014-04-02 18:04:00,94.416,0.1,0.0,0
2014-04-02 18:09:00,97.334,0.075,0.0,0
2014-04-02 18:14:00,95.834,0.1,0.0,0
2014-04-02 18:19:00,94.126,0.025,0.0,0
2014-04-02 18:24:00,94.542,0.025,0.0,0
2014-04-02 18:29:00,92.916,0.075,0.0,0
2014-04-02 18:34:00,97.542,0.05,0.0,0
2014-04-02 18:39:00,92.458,0.05,0.0,0
2014-04-02 18:44:00,94.292,0.05,0.0,0
2014-04-02 18:49:00,94.812,0.05,0.0,0
2014-04-02 18:54:00,93.458,0.05,0.0,0
2014-04-02 18:59:00,95.042,0.05,0.0,0
2014-04-02 19:04:00,91.876,0.075,0.0,0
2014-04-02 19:09:00,93.708,0.05,0.0,0
2014-04-02 19:14:00,95.806,0.05,0.0,0
2014-04-02 19:19:00,93.004,0.05,0.0,0
2014-04-02 19:24:00,94.792,0.05,0.0,0
2014-04-02 19:29:00,95.254,0.05,0.0,0
2014-04-02 19:34:00,92.292,0.025,0.0,0
2014-04-02 19:39:00,95.166,0.025,0.0,0
2014-04-02 19:44:00,94.134,0.05,0.0,0
2014-04-02 19:49:00,93.084,0.05,0.0,0
2014-04-02 19:54:00,93.054,0.05,0.0,0
2014-04-02 19:59:00,97.068,0.025,0.0,0
2014-04-02 20:04:00,96.662,0.075,0.0,0
2014-04-02 20:09:00,94.126,0.05,0.0,0
2014-04-02 20:14:00,93.126,0.05,0.0,0
2014-04-02 20:19:00,94.706,0.025,0.0,0
2014-04-02 20:24:00,94.708,0.025,0.0,0
2014-04-02 20:29:00,93.584,0.05,0.0,0
2014-04-02 20:34:00,93.374,0.05,0.0,0
2014-04-02 20:39:00,93.726,0.025,0.0,0
2014-04-02 20:44:00,94.834,0.025,0.0,0
2014-04-02 20:49:00,90.938,0.125,0.0,0
2014-04-02 20:54:00,94.874,0.075,0.0,0
2014-04-02 20:59:00,94.126,0.025,0.0,0
2014-04-02 21:04:00,93.594,0.025,0.0,0
2014-04-02 21:09:00,94.296,0.05,0.0,0
2014-04-02 21:14:00,92.416,0.075,0.0,0
2014-04-02 21:19:00,94.644,0.025,0.0,0
2014-04-02 21:24:00,94.306,0.025,0.0,0
2014-04-02 21:29:00,94.084,0.025,0.0,0
2014-04-02 21:34:00,93.716,0.0,0.0,0
2014-04-02 21:39:00,93.628,0.025,0.0,0
2014-04-02 21:44:00,90.416,0.075,0.0,0
2014-04-02 21:49:00,91.792,0.025,0.0,0
2014-04-02 21:54:00,94.334,0.025,0.0,0
2014-04-02 21:59:00,90.878,0.075,0.0,0
2014-04-02 22:04:00,93.12,0.025,0.0,0
2014-04-02 22:09:00,94.874,0.025,0.0,0
2014-04-02 22:14:00,94.144,0.025,0.0,0
2014-04-02 22:19:00,94.04,0.025,0.0,0
2014-04-02 22:24:00,92.852,0.025,0.0,0
2014-04-02 22:29:00,94.626,0.025,0.0,0
2014-04-02 22:34:00,94.22,0.025,0.0,0
2014-04-02 22:39:00,93.818,0.025,0.0,0
2014-04-02 22:44:00,90.636,0.15,0.5,0
2014-04-02 22:49:00,92.354,0.025,0.5,0
2014-04-02 22:54:00,95.756,0.1,0.5,0
2014-04-02 22:59:00,95.0,0.075,0.5,0
2014-04-02 23:04:00,93.084,0.025,0.5,0
2014-04-02 23:09:00,96.126,0.075,0.5,0
2014-04-02 23:14:00,94.416,0.0,0.5,0
2014-04-02 23:19:00,93.624,0.025,0.5,0
2014-04-02 23:24:00,93.126,0.025,0.5,0
2014-04-02 23:29:00,95.542,0.0,0.5,0
2014-04-02 23:34:00,94.836,0.075,0.5,0
2014-04-02 23:39:00,94.958,0.1,0.5,0
2014-04-02 23:44:00,95.376,0.1,0.5,0
2014-04-02 23:49:00,93.584,0.05,0.5,0
2014-04-02 23:54:00,93.292,0.025,0.5,0
2014-04-02 23:59:00,95.024,0.1,0.5,0
2014-04-03 00:04:00,94.026,0.05,0.5,0
2014-04-03 00:09:00,95.042,0.075,0.5,0
2014-04-03 00:14:00,94.702,0.1,0.5,0
2014-04-03 00:19:00,93.194,0.05,0.5,0
